"date","hour_reg","pick_rgn2_nm","order_cnt","day_of_reg","order_cnt_ratio","order_cnt_predict"
2023-05-28,9,"강서구",16919.3168604396,"일요일",0.02,338
2023-05-28,9,"관악구",23734.6848794234,"일요일",0.02,475
2023-05-28,9,"구로구",9460.92317258381,"일요일",0.01,95
2023-05-28,9,"금천구",7706.92341899849,"일요일",0.01,77
2023-05-28,9,"동작구",13294.812727213,"일요일",0.01,133
2023-05-28,9,"양천구",10421.0325776549,"일요일",0.01,104
2023-05-28,9,"영등포구",15480.1490400127,"일요일",0.02,310
2023-05-28,9,"마포구",16207.2254997571,"일요일",0.02,324
2023-05-28,9,"서대문구",10624.3852351034,"일요일",0.01,106
2023-05-28,9,"용산구",8242.53739266524,"일요일",0.02,165
2023-05-28,9,"은평구",9483.47418218432,"일요일",0.02,190
2023-05-28,9,"종로구",5832.16281608924,"일요일",0.01,58
2023-05-28,9,"중구",5394.71208704255,"일요일",0.02,108
2023-05-29,9,"강남구",28990.5508923966,"월요일",0.02,580
2023-05-29,9,"서초구",14815.0854913901,"월요일",0.02,296
2023-05-29,9,"강동구",8830.34008404208,"월요일",0.01,88
2023-05-29,9,"송파구",21567.9828139283,"월요일",0.02,431
2023-05-29,9,"강북구",5726.32901913933,"월요일",0.01,57
2023-05-29,9,"광진구",9034.82289429252,"월요일",0.01,90
2023-05-29,9,"노원구",8758.43059155631,"월요일",0.01,88
2023-05-29,9,"도봉구",4863.65989133084,"월요일",0.01,49
2023-05-29,9,"동대문구",9887.68800244103,"월요일",0.01,99
2023-05-29,9,"성동구",9743.0572794403,"월요일",0.01,97
2023-05-29,9,"성북구",11675.5353680449,"월요일",0.01,117
2023-05-29,9,"중랑구",6669.58968093805,"월요일",0.01,67
2023-05-29,9,"강서구",15433.3661879698,"월요일",0.02,309
2023-05-29,9,"관악구",23251.1471994117,"월요일",0.02,465
2023-05-29,9,"구로구",8813.59785470142,"월요일",0.01,88
2023-05-29,9,"금천구",7405.98018881109,"월요일",0.01,74
2023-05-29,9,"동작구",12526.3710053865,"월요일",0.01,125
2023-05-29,9,"양천구",9584.32930594837,"월요일",0.01,96
2023-05-29,9,"영등포구",15301.13526092,"월요일",0.02,306
2023-05-29,9,"마포구",16002.8507520045,"월요일",0.02,320
2023-05-29,9,"서대문구",10386.7849626795,"월요일",0.01,104
2023-05-29,9,"용산구",8036.32002904587,"월요일",0.02,161
2023-05-29,9,"은평구",8503.57665527438,"월요일",0.01,85
2023-05-29,9,"종로구",6351.21544249794,"월요일",0.02,127
2023-05-29,9,"중구",6291.39605823882,"월요일",0.02,126
2023-05-30,9,"강남구",21183.5521303358,"화요일",0.02,424
2023-05-30,9,"서초구",10019.2921281683,"화요일",0.02,200
2023-05-30,9,"강동구",5327.34635050643,"화요일",0.01,53
2023-05-30,9,"송파구",13310.0711625709,"화요일",0.01,133
2023-05-30,9,"강북구",3503.52984372022,"화요일",0.01,35
2023-05-30,9,"광진구",5576.49484588102,"화요일",0.01,56
2023-05-30,9,"노원구",5496.33338800873,"화요일",0.01,55
2023-05-30,9,"도봉구",2918.64956026584,"화요일",0.01,29
2023-05-30,9,"동대문구",6417.72875667582,"화요일",0.01,64
2023-05-30,9,"성동구",6476.69252255427,"화요일",0.01,65
2023-05-30,9,"성북구",7410.58359059764,"화요일",0.01,74
2023-05-30,9,"중랑구",4062.98326670809,"화요일",0.01,41
2023-05-30,9,"강서구",9534.2107110371,"화요일",0.02,191
2023-05-30,9,"관악구",14097.7951131477,"화요일",0.02,282
2023-05-30,9,"구로구",5391.84241040379,"화요일",0.01,54
2023-05-30,9,"금천구",4498.82260860836,"화요일",0.01,45
2023-05-30,9,"동작구",7862.85780070237,"화요일",0.01,79
2023-05-30,9,"양천구",6137.31196346751,"화요일",0.01,61
2023-05-30,9,"영등포구",9608.37528568601,"화요일",0.01,96
2023-05-30,9,"마포구",10453.5293904869,"화요일",0.01,105
2023-05-30,9,"서대문구",6726.7483801633,"화요일",0.01,67
2023-05-30,9,"용산구",5376.67054297394,"화요일",0.02,108
2023-05-30,9,"은평구",5062.67653779596,"화요일",0.01,51
2023-05-30,9,"종로구",4385.87197368763,"화요일",0.01,44
2023-05-30,9,"중구",4540.52438266861,"화요일",0.01,45
2023-05-31,9,"강남구",23688.2238041983,"수요일",0.02,474
2023-05-31,9,"서초구",11652.3953807991,"수요일",0.02,233
2023-05-31,9,"강동구",6149.13579640315,"수요일",0.01,61
2023-05-31,9,"송파구",15110.5083434729,"수요일",0.02,302
2023-05-31,9,"강북구",3990.49649359984,"수요일",0.01,40
2023-05-31,9,"광진구",6421.00897135282,"수요일",0.01,64
2023-05-31,9,"노원구",6253.47105807803,"수요일",0.01,63
2023-05-31,9,"도봉구",3404.85896470194,"수요일",0.01,34
2023-05-31,9,"동대문구",7319.7538529809,"수요일",0.01,73
2023-05-31,9,"성동구",7279.44597561246,"수요일",0.01,73
2023-05-31,9,"성북구",8344.08138149101,"수요일",0.01,83
2023-05-31,9,"중랑구",4467.5474353901,"수요일",0.01,45
2023-05-31,9,"강서구",10653.5296742547,"수요일",0.01,107
2023-05-31,9,"관악구",15634.7962407681,"수요일",0.01,156
