"reg_date","rider_cnt","day_of_reg","rain_c","snow_c","is_rain","is_holiday","rider_cnt_w_1","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_1"
2023-05-13,17925,"토요일",0,0,0,0,17047,16695,16700,17162,278629
2023-05-14,17980,"일요일",0,0,0,0,16552,16848,16710,16439,275719
2023-05-15,16462,"월요일",0,0,0,0,16003,16803,15515,15336,205535
2023-05-16,16872,"화요일",0,0,0,0,15997,15956,15530,15786,188822
2023-05-17,16350,"수요일",0,0,0,0,15771,15619,15217,15300,198298
2023-05-18,16525,"목요일",1.3,0,1,0,15625,14584,16382,11888,206770
2023-05-19,17916,"금요일",0,0,0,0,17241,16872,16709,16329,225931
2023-05-20,18060,"토요일",0,0,0,0,17925,17047,16695,16700,310677
2023-05-21,17949,"일요일",0.2,0,1,0,16663,17141,17126,16363,281210
2023-05-22,16451,"월요일",0,0,0,0,16462,16003,16803,15515,217068
2023-05-23,16711,"화요일",0,0,0,0,16872,15997,15956,15530,221012
2023-05-24,16356,"수요일",0,0,0,0,16350,15771,15619,15217,224656
2023-05-25,16769,"목요일",0,0,0,0,16241,16865,15763,15265,200230
2023-05-26,17798,"금요일",0.5,0,1,0,16497,16985,17275,16064,308465
2023-05-27,16309,"토요일",31.8,0,1,1,16336,16746,16968,16180,271589
2023-05-28,15411,"일요일",41.8,0,1,0,17949,16663,17141,17126,321716
2023-05-29,17674,"월요일",2.3,0,1,1,15820,15970,16349,15550,199073
2023-05-30,16073,"화요일",0,0,0,0,16711,16872,15997,15956,206161
2023-05-31,15586,"수요일",0,0,0,0,16356,16350,15771,15619,217161
2023-06-01,16499,"목요일",0,0,0,0,16769,16241,16865,15763,230709
2023-06-02,17596,"금요일",0,0,0,0,17916,17241,16872,16709,254658
2023-06-03,17872,"토요일",0,0,0,0,18060,17925,17047,16695,307625
2023-06-04,17414,"일요일",0,0,0,0,17980,16552,16848,16710,328300
2023-06-05,16776,"월요일",0,0,0,0,16451,16462,16003,16803,211487
2023-06-06,18428,"화요일",0,0,0,1,16073,16711,16872,15997,205645
2023-06-07,15844,"수요일",0,0,0,0,15586,16356,16350,15771,214270
2023-06-08,16388,"목요일",1.9,0,1,0,16525,15625,14584,16382,229391
2023-06-09,17748,"금요일",1.2,0,1,0,17798,16497,16985,17275,262426
2023-06-10,18481,"토요일",0.8,0,1,0,16309,16336,16746,16968,305288
2023-06-11,17903,"일요일",32.2,0,1,0,15411,17949,16663,17141,310143
2023-06-12,16671,"월요일",0,0,0,0,16776,16451,16462,16003,245046
